iter	Passed	Remaining
356	2231	893
357	2239	888
358	2247	882
359	2258	878
360	2267	872
361	2274	867
362	2282	861
363	2288	854
364	2293	848
365	2297	841
366	2302	834
367	2307	827
368	2313	821
369	2320	815
370	2325	808
371	2332	802
372	2337	795
373	2342	789
374	2349	783
375	2354	776
376	2360	770
377	2366	763
378	2373	757
379	2378	751
380	2386	745
381	2393	739
382	2399	732
383	2405	726
384	2412	720
385	2418	714
386	2423	707
387	2428	701
388	2434	694
389	2439	688
390	2444	681
391	2449	674
392	2455	668
393	2460	661
394	2465	655
395	2470	648
396	2475	642
397	2480	635
398	2486	629
399	2492	623
400	2499	616
401	2506	611
402	2511	604
403	2516	597
404	2522	591
405	2527	585
406	2532	578
407	2538	572
408	2544	566
409	2549	559
410	2554	553
411	2559	546
412	2565	540
413	2570	534
414	2577	527
415	2583	521
416	2589	515
417	2594	509
418	2600	502
419	2606	496
420	2617	491
421	2623	484
422	2627	478
423	2634	472
424	2640	465
425	2645	459
426	2652	453
427	2658	447
428	2664	441
429	2670	434
430	2678	428
431	2683	422
432	2691	416
433	2696	410
434	2700	403
435	2705	397
436	2711	390
437	2716	384
438	2722	378
439	2728	372
440	2733	365
441	2738	359
442	2745	353
443	2750	346
444	2757	340
445	2762	334
446	2768	328
447	2774	322
448	2780	315
449	2786	309
450	2793	303
451	2800	297
452	2806	291
453	2811	284
454	2817	278
455	2823	272
456	2828	266
457	2834	259
458	2840	253
459	2845	247
460	2852	241
461	2859	235
462	2868	229
463	2876	223
464	2882	216
465	2890	210
466	2897	204
467	2912	199
468	2919	192
469	2926	186
470	2934	180
471	2941	174
472	2951	168
473	2960	162
474	2969	156
475	2976	150
476	2983	143
477	2990	137
478	2996	131
479	3001	125
480	3006	118
481	3012	112
482	3017	106
483	3024	99
484	3029	93
485	3035	87
486	3041	81
487	3048	74
488	3053	68
489	3058	62
490	3063	56
491	3067	49
492	3073	43
493	3080	37
494	3087	31
495	3093	24
496	3101	18
497	3108	12
498	3113	6
499	3121	0
