iter	MAE
0	19.67510366
1	19.31341041
2	19.00139265
3	18.65160307
4	18.34380453
5	18.06482757
6	17.79254365
7	17.57330624
8	17.39928596
9	17.13345048
10	16.93495035
11	16.70749751
12	16.52945273
13	16.3665012
14	16.19464674
15	16.05519992
16	15.91403759
17	15.80921556
18	15.69584612
19	15.61411918
20	15.54505969
21	15.48011244
22	15.38101258
23	15.30676464
24	15.2311317
25	15.14108335
26	15.07459253
27	15.01282251
28	14.92598478
29	14.84567051
30	14.78081512
31	14.73125873
32	14.69724198
33	14.64967969
34	14.60903955
35	14.56378311
36	14.51553408
37	14.46475013
38	14.40242016
39	14.35167592
40	14.2946986
41	14.24653095
42	14.19656829
43	14.14595082
44	14.11358457
45	14.07890314
46	14.03109301
47	13.99203227
48	13.9572877
49	13.93192645
50	13.87491459
51	13.81915419
52	13.78010679
53	13.74623724
54	13.70506111
55	13.67328582
56	13.64026116
57	13.61392022
58	13.57099645
59	13.53846854
60	13.50653155
61	13.48204301
62	13.42854128
63	13.40992452
64	13.3817794
65	13.3597378
66	13.31436488
67	13.27719589
68	13.24726946
69	13.21623114
70	13.19079523
71	13.18839477
72	13.16122105
73	13.12238867
74	13.0758464
75	13.05680518
76	13.02179426
77	12.98540034
78	12.9524506
79	12.93434015
80	12.9106759
81	12.88571675
82	12.85526977
83	12.83641128
84	12.81230659
85	12.79031467
86	12.75520448
87	12.70815161
88	12.69037531
89	12.66529105
90	12.63872293
91	12.604384
92	12.5626443
93	12.52893455
94	12.50969052
95	12.48957407
96	12.45999339
97	12.43057909
98	12.40673217
99	12.39189841
100	12.37005625
101	12.32931505
102	12.30624312
103	12.28113894
104	12.26474114
105	12.24752629
106	12.22182416
107	12.2081726
108	12.19127226
109	12.178164
110	12.16788815
111	12.14241177
112	12.11565704
113	12.08789161
114	12.06891521
115	12.05524839
116	12.02954172
117	12.01032327
118	11.98672954
119	11.95640216
120	11.92136865
121	11.90514939
122	11.89539888
123	11.85106343
124	11.82688406
125	11.81174535
126	11.78595595
127	11.74791428
128	11.7247421
129	11.71289963
130	11.69410176
131	11.67059959
132	11.65680259
133	11.63859457
134	11.60905515
135	11.58253287
136	11.56883588
137	11.54782558
138	11.51339963
139	11.48541219
140	11.47013919
141	11.45060467
142	11.43108516
143	11.41062165
144	11.38589606
145	11.36682883
146	11.34200692
147	11.33042887
148	11.31174899
149	11.28593031
150	11.25516367
151	11.23810527
152	11.22151335
153	11.20402928
154	11.17207057
155	11.15663997
156	11.14131994
157	11.12753589
158	11.10059328
159	11.08797912
160	11.07605632
161	11.07049901
162	11.04649355
163	11.00631948
164	10.98662693
165	10.96685094
166	10.95508159
167	10.93878959
168	10.92545928
169	10.88600923
170	10.87635538
171	10.86184423
172	10.84640939
173	10.827399
174	10.80751838
175	10.79216286
176	10.77823649
177	10.75943575
178	10.74687024
179	10.71211754
180	10.695515
181	10.68330288
182	10.67194997
183	10.65497704
184	10.62964209
185	10.6138528
186	10.59723929
187	10.58740618
188	10.56982579
189	10.55548936
190	10.54713752
191	10.53285249
192	10.52263981
193	10.50715476
194	10.48591573
195	10.46655399
196	10.46017063
197	10.43414764
198	10.39740598
199	10.38263199
200	10.36671132
201	10.35790436
202	10.34215382
203	10.3275327
204	10.29314625
205	10.28151916
206	10.26219964
207	10.24289152
208	10.23189126
209	10.22063626
210	10.20610457
211	10.17982363
212	10.15251564
213	10.1424761
214	10.13248653
215	10.11744188
216	10.10227229
217	10.08949118
218	10.0773744
219	10.05935747
220	10.05291056
221	10.04490956
222	10.03569649
223	10.01914272
224	10.01363498
225	10.0032474
226	9.994929331
227	9.98780508
228	9.975033469
229	9.970093672
230	9.963727203
231	9.940535173
232	9.932393783
233	9.926409541
234	9.913449167
235	9.90139618
236	9.895701517
237	9.877583172
238	9.869711817
239	9.863734507
240	9.852700631
241	9.845051895
242	9.842141426
243	9.838313662
244	9.820468744
245	9.797330263
246	9.780915808
247	9.769024047
248	9.746878652
249	9.740499101
250	9.726000474
251	9.70593143
252	9.687329793
253	9.66820866
254	9.663106791
255	9.645918498
256	9.624270092
257	9.614622212
258	9.603769026
259	9.592045403
260	9.579785669
261	9.563376348
262	9.553053873
263	9.544065083
264	9.537654952
265	9.526749561
266	9.513345368
267	9.497113917
268	9.488865082
269	9.476380831
270	9.472025853
271	9.465565389
272	9.461196834
273	9.453823261
274	9.451688426
275	9.446499568
276	9.435860492
277	9.428853558
278	9.413508462
279	9.406639739
280	9.402091597
281	9.391487672
282	9.387806788
283	9.378372189
284	9.37216369
285	9.351031288
286	9.339918134
287	9.312934091
288	9.296084226
289	9.287421407
290	9.269998609
291	9.255160575
292	9.243066135
293	9.233109238
294	9.214946501
295	9.207640837
296	9.180269751
297	9.168786815
298	9.16289754
299	9.15244611
300	9.138434249
301	9.133484611
302	9.121375739
303	9.112390285
304	9.101161435
305	9.089164087
306	9.073726752
307	9.056420681
308	9.040815062
309	9.034802495
310	9.022820286
311	9.018021603
312	9.006578084
313	8.99156256
314	8.990232638
315	8.984741227
316	8.980805038
317	8.976831873
318	8.970591881
319	8.961477533
320	8.958961085
321	8.953305264
322	8.941047743
323	8.930597471
324	8.925238631
325	8.917527482
326	8.903461814
327	8.897580753
328	8.889551539
329	8.881037925
330	8.876668902
331	8.869285713
332	8.861191608
333	8.849769693
334	8.835713104
335	8.830532567
336	8.821593696
337	8.80755716
338	8.798604103
339	8.791644217
340	8.775206385
341	8.771600994
342	8.764814081
343	8.758967601
344	8.750415268
345	8.736847131
346	8.726902953
347	8.720357088
348	8.710711709
349	8.702098904
350	8.695496316
351	8.68716863
352	8.679035068
353	8.668741893
354	8.662294123
355	8.656536592
356	8.649850659
357	8.640172659
358	8.613056194
359	8.607175827
360	8.594317412
361	8.590761374
362	8.582389858
363	8.573114966
364	8.566665963
365	8.562809896
366	8.555204543
367	8.548165749
368	8.543219842
369	8.533896663
370	8.523839327
371	8.518076721
372	8.513517693
373	8.497602826
374	8.493100737
375	8.487476756
376	8.476080819
377	8.469440314
378	8.465830252
379	8.456717946
380	8.450550146
381	8.441768794
382	8.437182565
383	8.422720711
384	8.413775351
385	8.408014048
386	8.383736315
387	8.379048409
388	8.376910548
389	8.372022672
390	8.362317455
391	8.348826999
392	8.347412296
393	8.340969745
394	8.335759012
395	8.327286058
396	8.315360707
397	8.305037836
398	8.303431141
399	8.297572009
400	8.294528308
401	8.284739256
402	8.280093976
403	8.276483975
404	8.272650571
405	8.263199121
406	8.258303861
407	8.254322091
408	8.251558734
409	8.249499243
410	8.22588874
411	8.223143743
412	8.218907491
413	8.21825634
414	8.208346219
415	8.201280545
416	8.197735364
417	8.19295781
418	8.187462022
419	8.179303316
420	8.173993575
421	8.171315715
422	8.169935367
423	8.165122411
424	8.161729148
425	8.153949427
426	8.149187888
427	8.134990701
428	8.127294813
429	8.121180511
430	8.11741412
431	8.112605513
432	8.105388586
433	8.099568368
434	8.094600184
435	8.084229105
436	8.081511195
437	8.074987006
438	8.066246426
439	8.062641898
440	8.05091686
441	8.035831593
442	8.032562835
443	8.029198499
444	8.027296841
445	8.020734754
446	8.012321113
447	8.007827878
448	8.002522294
449	7.993063434
450	7.987928006
451	7.983378421
452	7.981148995
453	7.977544173
454	7.973319997
455	7.970648063
456	7.959486912
457	7.956556907
458	7.952650089
459	7.949273556
460	7.939584079
461	7.936263248
462	7.92945007
463	7.925762418
464	7.923207273
465	7.9181937
466	7.912558784
467	7.908799467
468	7.903722565
469	7.894599379
470	7.889429877
471	7.877223127
472	7.864102504
473	7.854994468
474	7.852006863
475	7.847090708
476	7.832495334
477	7.826110425
478	7.819471876
479	7.810933825
480	7.804307666
481	7.791393853
482	7.78014318
483	7.77589456
484	7.771513943
485	7.759344181
486	7.753934822
487	7.747946385
488	7.736982143
489	7.734825698
490	7.725063413
491	7.719415141
492	7.715170426
493	7.708919545
494	7.705130363
495	7.703671624
496	7.691805906
497	7.684301834
498	7.674915512
499	7.667625766
