iter	MAE
0	19.79246276
1	19.41183876
2	19.05680813
3	18.74350775
4	18.4366148
5	18.16917753
6	17.95209095
7	17.72229886
8	17.53833509
9	17.30363679
10	17.08954836
11	16.88842622
12	16.75860782
13	16.59983062
14	16.43382527
15	16.28471484
16	16.16928803
17	16.02381828
18	15.91414528
19	15.81315216
20	15.71052493
21	15.61567815
22	15.52230895
23	15.4343305
24	15.35643911
25	15.25211981
26	15.19398276
27	15.12243583
28	15.05760022
29	15.00410668
30	14.9625444
31	14.88123527
32	14.82518037
33	14.7602052
34	14.70925372
35	14.65878166
36	14.59046156
37	14.54947277
38	14.46846188
39	14.40066106
40	14.34261874
41	14.29123028
42	14.25597616
43	14.21112726
44	14.17044236
45	14.13485777
46	14.0935085
47	14.05088459
48	13.99722088
49	13.95035728
50	13.91235653
51	13.87298795
52	13.83827968
53	13.78299638
54	13.76444427
55	13.72994917
56	13.69516433
57	13.66545461
58	13.6323813
59	13.58831978
60	13.56678806
61	13.5615532
62	13.53148719
63	13.50151305
64	13.46442038
65	13.45606018
66	13.42739026
67	13.3577162
68	13.32117752
69	13.29620089
70	13.25494116
71	13.19731278
72	13.15685057
73	13.10170245
74	13.06604337
75	13.03616581
76	13.01274251
77	12.97303131
78	12.95493065
79	12.92533251
80	12.89393905
81	12.87605687
82	12.86351964
83	12.83149567
84	12.81087922
85	12.77611672
86	12.75382958
87	12.7268364
88	12.70720784
89	12.6928254
90	12.65716154
91	12.62587839
92	12.58918897
93	12.55095415
94	12.52192767
95	12.49499913
96	12.485849
97	12.44844871
98	12.42976965
99	12.40276001
100	12.35417261
101	12.32641653
102	12.3118807
103	12.2896827
104	12.26395576
105	12.24230531
106	12.20223712
107	12.17618001
108	12.16277171
109	12.15239391
110	12.12878967
111	12.10151905
112	12.07978703
113	12.055049
114	12.02833895
115	12.01846383
116	11.98731376
117	11.97499358
118	11.95613827
119	11.93800451
120	11.91597088
121	11.89339504
122	11.88121342
123	11.86756438
124	11.85647864
125	11.83923722
126	11.82308245
127	11.80363784
128	11.80061259
129	11.77680768
130	11.7573018
131	11.74199081
132	11.72250176
133	11.70940766
134	11.70050425
135	11.68277205
136	11.67305019
137	11.65777219
138	11.64326084
139	11.6343472
140	11.62092296
141	11.60293794
142	11.57620112
143	11.56253417
144	11.54606268
145	11.54513306
146	11.52201677
147	11.50960719
148	11.48603719
149	11.4698859
150	11.43431519
151	11.41118254
152	11.39498151
153	11.38123986
154	11.37140359
155	11.35783832
156	11.33814058
157	11.32782498
158	11.31934913
159	11.29333912
160	11.26563068
161	11.24841805
162	11.23200605
163	11.21630772
164	11.20031143
165	11.17418332
166	11.14721326
167	11.11928809
168	11.10739488
169	11.08770386
170	11.0775166
171	11.06700828
172	11.05044144
173	11.03037523
174	11.01490466
175	10.98953501
176	10.96890042
177	10.93789328
178	10.93183991
179	10.91793421
180	10.89750967
181	10.86848811
182	10.83897738
183	10.81210562
184	10.78903206
185	10.7780727
186	10.74944771
187	10.72722552
188	10.71065269
189	10.69497599
190	10.67998441
191	10.66294347
192	10.63409115
193	10.62917805
194	10.61250441
195	10.60509391
196	10.57978579
197	10.55920909
198	10.52781739
199	10.51213224
200	10.49668115
201	10.47467972
202	10.45825647
203	10.4462697
204	10.43668456
205	10.4197815
206	10.39933617
207	10.38065291
208	10.36592825
209	10.35557288
210	10.32666627
211	10.30611503
212	10.29282944
213	10.26806743
214	10.25545106
215	10.24730803
216	10.23823759
217	10.22062694
218	10.2074935
219	10.18667172
220	10.17500488
221	10.16311477
222	10.14548039
223	10.12255256
224	10.10951586
225	10.08910507
226	10.07658413
227	10.06547158
228	10.04734924
229	10.03525649
230	10.02031567
231	10.00598831
232	9.996149225
233	9.989426953
234	9.968351298
235	9.962765804
236	9.943541684
237	9.934442279
238	9.9248446
239	9.916324807
240	9.898774038
241	9.875743504
242	9.8527873
243	9.842846171
244	9.811071136
245	9.793921563
246	9.758502797
247	9.740349681
248	9.722617726
249	9.714068315
250	9.710619406
251	9.69655356
252	9.686231541
253	9.678349697
254	9.665965441
255	9.654063451
256	9.639182876
257	9.617212747
258	9.598801215
259	9.581108649
260	9.571162862
261	9.551319812
262	9.538792016
263	9.51391879
264	9.501619001
265	9.496013626
266	9.475027902
267	9.4479439
268	9.432976007
269	9.40700704
270	9.388544399
271	9.374209237
272	9.359711852
273	9.355022887
274	9.346410149
275	9.333112827
276	9.315915991
277	9.294169625
278	9.284686191
279	9.277410401
280	9.26794075
281	9.258638226
282	9.246896724
283	9.23822195
284	9.234267332
285	9.224947969
286	9.215425987
287	9.204909153
288	9.198188132
289	9.197032487
290	9.182172101
291	9.169761022
292	9.163810821
293	9.148301403
294	9.12972669
295	9.123096358
296	9.112922507
297	9.102726437
298	9.0988809
299	9.088719595
300	9.081112865
301	9.072843331
302	9.06994894
303	9.064399131
304	9.061751009
305	9.057864908
306	9.051563971
307	9.037233253
308	9.027036197
309	9.02020684
310	9.013007709
311	9.003308628
312	8.992319073
313	8.98421032
314	8.966137628
315	8.944928996
316	8.932367267
317	8.93008437
318	8.923432739
319	8.91484237
320	8.905102283
321	8.896519685
322	8.890576835
323	8.87758231
324	8.86842902
325	8.857447953
326	8.844591225
327	8.831651873
328	8.819472448
329	8.811655329
330	8.803899862
331	8.788169907
332	8.782637083
333	8.776649284
334	8.757995833
335	8.751336749
336	8.741949697
337	8.731668469
338	8.725477317
339	8.715259421
340	8.707780258
341	8.697387825
342	8.69167963
343	8.682876547
344	8.677431226
345	8.6691426
346	8.665527323
347	8.655818085
348	8.64654016
349	8.6416196
350	8.632795758
351	8.62571275
352	8.622877214
353	8.612275869
354	8.608627586
355	8.6009104
356	8.595380885
357	8.585940936
358	8.579472611
359	8.574833342
360	8.569839174
361	8.561990731
362	8.545470397
363	8.539260096
364	8.52325653
365	8.516457003
366	8.512783189
367	8.506919691
368	8.501138703
369	8.496496596
370	8.49455447
371	8.48050769
372	8.474760507
373	8.470778619
374	8.458818677
375	8.451483352
376	8.44310877
377	8.440655468
378	8.437714741
379	8.434384487
380	8.425572094
381	8.416916889
382	8.411129645
383	8.405516521
384	8.401550551
385	8.39935573
386	8.391264864
387	8.386429034
388	8.377182985
389	8.368637998
390	8.367894068
391	8.357505438
392	8.354271878
393	8.352096197
394	8.342893811
395	8.335721043
396	8.330758788
397	8.314883544
398	8.299106576
399	8.29298093
400	8.282416873
401	8.279796314
402	8.276766699
403	8.273057176
404	8.271751012
405	8.26849452
406	8.263865852
407	8.257793687
408	8.254388901
409	8.251735788
410	8.2488712
411	8.243619567
412	8.23421393
413	8.229969394
414	8.213040819
415	8.203005998
416	8.197800532
417	8.190673521
418	8.187384048
419	8.177126301
420	8.166724041
421	8.162306445
422	8.151170483
423	8.148673981
424	8.146130575
425	8.140023467
426	8.133913112
427	8.124690967
428	8.121517472
429	8.118764879
430	8.105097717
431	8.098918849
432	8.097594118
433	8.092072174
434	8.08249485
435	8.074501893
436	8.072152246
437	8.06663561
438	8.057761881
439	8.045186079
440	8.036314742
441	8.034741174
442	8.023840378
443	8.014087328
444	8.007400235
445	7.998801811
446	7.982433
447	7.973230514
448	7.968030379
449	7.962866661
450	7.958446516
451	7.947008196
452	7.944199778
453	7.938056562
454	7.933256901
455	7.931666795
456	7.927368541
457	7.920054528
458	7.91451001
459	7.909907678
460	7.905864929
461	7.903109439
462	7.893881238
463	7.886865798
464	7.881971571
465	7.874959528
466	7.870768838
467	7.864764999
468	7.861933223
469	7.860514913
470	7.847094711
471	7.844434772
472	7.836433187
473	7.834298224
474	7.829824365
475	7.827546447
476	7.824563406
477	7.822848258
478	7.820335784
479	7.815803292
480	7.810969755
481	7.804302586
482	7.798133048
483	7.796141917
484	7.779752708
485	7.773422697
486	7.764420542
487	7.760800292
488	7.755670166
489	7.745668348
490	7.737035608
491	7.735777967
492	7.733484929
493	7.730136908
494	7.727105834
495	7.72592529
496	7.719422026
497	7.716447193
498	7.713959946
499	7.711240144
